Origem;Data protocolo;Tipo de Tecnologia;Tema da Saúde;Demandante;Nome da tecnologia;Status;Indicação;Motivo da solicitação ;Data decisão
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Budesonida;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Beclometasona;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Fenoterol;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Salbutamol;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Formoterol;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Medicamento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Salmeterol;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;04/07/2012;Procedimento;Pneumologia;Secretaria de Atenção à Saúde SAS/MS;Oxigenoterapia domiciliar;Processo encerrado: decisão de incorporação no SUS;Tratamento da doença pulmonar obstrutiva crônica (DPOC);Incorporação;26/09/2012
Interna;05/07/2012;Medicamento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Alfainterferona;Processo encerrado: decisão de incorporação no SUS;Quimioterapia adjuvante do melanoma cutâneo em estágio clínico III;Incorporação;21/01/2013
Interna;05/07/2012;Produto;Cardiovascular;Secretaria de Ciência, Tecnologia e Insumos Estratégicos SCTIE/MS;Oclusores septais;Processo encerrado: a pedido do demandante;Defeitos do septo interatrial;Incorporação;
Interna;09/07/2012;Procedimento;Infectologia;Secretaria de Estado da Saúde de São Paulo SES/SP;Teste de dosagem de adenosina deaminase (ADA);Processo encerrado: decisão de incorporação no SUS;Diagnóstico precoce de tuberculose extrapulmonar;Incorporação;16/05/2014
Interna;10/07/2012;Procedimento;Oftalmologia;Secretaria de Atenção à Saúde SAS/MS;Tomografia de coerência óptica (OCT);Processo encerrado: decisão de incorporação no SUS;Avaliação de doenças da retina;Incorporação;13/06/2013
Interna;10/07/2012;Medicamento;Saúde da Mulher;Secretaria de Atenção à Saúde SAS/MS;Heparina de baixo peso molecular;Processo encerrado: decisão de não incorporação no SUS;Gestantes e puérperas com trombofilia;Incorporação;04/07/2013
Interna;11/07/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Vacina tetraviral;Processo encerrado: decisão de incorporação no SUS;Varicela, sarampo, caxumba e rubéola;Incorporação;21/01/2013
Interna;02/08/2012;Procedimento;Gastroenterologia;Secretaria de Atenção à Saúde SAS/MS;CID K51.4 PCDT da Retocolite Ulcerativa;Processo encerrado: decisão de exclusão do SUS;Retocolite ulcerativa;Exclusão;05/10/2012
Interna;02/08/2012;Produto;Nefrologia;Secretaria de Atenção à Saúde SAS/MS;Pesquisa de fração C4D e imunoglobulina;Processo encerrado: decisão de incorporação no SUS;Tratamento da rejeição aguda mediada por anticorpos no transplante renal;Incorporação;04/10/2012
Interna;02/08/2012;Procedimento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Dosagem do antígeno CA125;Processo encerrado: decisão de incorporação no SUS;Acompanhamento de tratamento e seguimento póstratamento de neoplasia maligna epitelial de ovário;Incorporação;04/10/2012
Interna;20/08/2012;Medicamento;Gastroenterologia;Secretaria de Atenção à Saúde SAS/MS;Polivitamínico;Processo encerrado: a pedido do demandante;Obesidade póscirurgia bariátrica;Incorporação;
Interna;29/08/2012;Procedimento;Hematologia;Secretaria de Atenção à Saúde SAS/MS;Teste de amplificação de ácidos nucléicos (NAT);Processo encerrado: decisão de incorporação no SUS;Detecção dos vírus da imunodeficiência humana (HIV) e da hepatite C (HCV);Incorporação;13/06/2013
Interna;06/09/2012;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Metotrexato injetável;Processo encerrado: decisão de incorporação no SUS;Tratamento da espondilite ancilosante;Incorporação;11/09/2013
Interna;17/09/2012;Medicamento;Infectologia;Secretaria de Ciência, Tecnologia e Insumos Estratégicos SCTIE/MS;Flucitosina;Processo encerrado: a pedido do demandante;Criptococose;Incorporação;
Interna;17/09/2012;Medicamento;Ginecologia;Secretaria de Atenção à Saúde SAS/MS;Etinil estradiol + levonorgestrel;Processo encerrado: a pedido do demandante;Contraceptivo feminino;Incorporação;
Interna;03/10/2012;Procedimento;Hematologia;Secretaria de Atenção à Saúde SAS/MS;Teste do suor Dosagem de cloreto;Processo encerrado: decisão de incorporação no SUS;Diagnóstico da fibrose cística;Incorporação;13/06/2013
Interna;04/10/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Vacina adsorvida difteria, tétano e pertussis (acelular) dTpa;Processo encerrado: decisão de incorporação no SUS;Vacinação de gestantes;Incorporação;11/09/2013
Interna;10/10/2012;Procedimento;Hematologia;Secretaria de Atenção à Saúde SAS/MS;Fator VIII de origem recombinante;Processo encerrado: decisão de incorporação no SUS;Profilaxia primária e tratamento de pacientes com hemofilia A;Incorporação;07/03/2013
Interna;31/10/2012;Procedimento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Linfadenectomia seletiva guiada (Linfonodo sentinela);Processo encerrado: decisão de incorporação no SUS;Oncologia;Incorporação;13/06/2013
Interna;19/11/2012;Produto;Imunologia;Secretaria de Atenção à Saúde SAS/MS;Fórmula extensamente hidrolisada;Processo encerrado: a pedido do demandante;Alergia a proteína do leite de vaca;Incorporação;
Interna;19/11/2012;Produto;Imunologia;Secretaria de Atenção à Saúde SAS/MS;Fórmula a base de soja;Processo encerrado: a pedido do demandante;Alergia a proteína do leite de vaca;Incorporação;
Interna;19/11/2012;Produto;Imunologia;Secretaria de Atenção à Saúde SAS/MS;Fórmula de aminoácidos;Processo encerrado: a pedido do demandante;Alergia a proteína do leite de vaca;Incorporação;
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Adaptação postural em cadeiras de rodas;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cadeira de rodas para banho em concha infantil;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cadeira de rodas para banho com encosto reclinável;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cadeira de rodas para banho com aro de propulsão;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cadeira de rodas tipo monobloco;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cadeira de rodas (acima de 90kg);Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;27/11/2012;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cadeira de rodas motorizada;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção Não relacionado a ato cirúrgico;Incorporação;08/05/2013
Interna;07/12/2012;Procedimento;Ginecologia/Urologia;Secretaria de Atenção à Saúde SAS/MS;"Processo transexualizador Mastectomia Simples bilateral; histerectomia com anexectomia bilateral e colpectomia; cirurgias complementares de redesignação sexual; administração hormonal de testosterona e acompanhamento de usuários no processo transexualizador apenas para tratamento clínico";Processo encerrado: decisão de incorporação no SUS;Procedimento relativo ao processo transexualizador;Incorporação;16/05/2014
Interna;12/12/2012;Produto;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Teste Xpert MTB/RIF;Processo encerrado: decisão de incorporação no SUS;Diagnóstico de casos novos de tuberculose e detecção de resistência à rifampicina;Incorporação;11/09/2013
Interna;28/12/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Doxiciclina injetável;Processo encerrado: decisão de incorporação no SUS;Febre maculosa brasileira e outras riquetsioses;Incorporação;16/05/2014
Interna;29/12/2012;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Cloranfenicol suspensão;Processo encerrado: decisão de incorporação no SUS;Febre maculosa brasileira e outras riquetsioses;Incorporação;16/05/2014
Interna;23/01/2013;Produto;Otorrinolaringologia;Secretaria de Atenção à Saúde SAS/MS;Sistema de frequência modulada pessoal (FM);Processo encerrado: decisão de incorporação no SUS;Equipamento que possibilita a acessibilidade da criança e/ou jovem com deficiência auditiva na escola;Incorporação;08/05/2013
Interna;05/02/2013;Medicamento;Hematologia;Secretaria de Atenção à Saúde SAS/MS;Penicilina oral;Processo encerrado: decisão de incorporação no SUS;Profilaxia de infecção em crianças menores de 5 anos com doença falciforme;Incorporação;11/09/2013
Interna;05/02/2013;Medicamento;Hematologia;Secretaria de Atenção à Saúde SAS/MS;Hidroxiureia;Processo encerrado: decisão de incorporação no SUS;Crianças com doença falciforme;Incorporação;13/06/2013
Interna;07/03/2013;Medicamento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;TSH recombinante;Processo encerrado: por decisão da Conitec;Câncer de tireoide;Incorporação;
Interna;04/04/2013;Medicamento;Cardiovascular;Secretaria de Ciência, Tecnologia e Insumos Estratégicos SCTIE/MS;Ambrisentana e bosentana;Processo encerrado: decisão de incorporação no SUS;Hipertensão arterial pulmonar (HAP) na falha primária, secundária ou contraindicação da sildenafila;Incorporação;08/11/2013
Interna;09/05/2013;Medicamento;Dermatologia;Secretaria de Atenção à Saúde SAS/MS;Metotrexato injetável;Processo encerrado: decisão de incorporação no SUS;Psoríase;Incorporação;10/09/2013
Interna;15/05/2013;Procedimento;Dermatologia;Secretaria de Atenção à Saúde SAS/MS;Terapia por pressão subatmosférica (VAC);Processo encerrado: decisão de não incorporação no SUS;Lesões traumáticas agudas extensas;Incorporação;26/09/2014
Interna;04/06/2013;Medicamento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Rituximabe;Processo encerrado: decisão de incorporação no SUS;Linfoma Não Hodgkin de células B, folicular, CD20 positivo, em 1ª e 2ª linha;Incorporação;30/12/2013
Interna;04/06/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Avaliação diagnóstica, procedimentos laboratoriais e aconselhamento genético;Processo encerrado: decisão de incorporação no SUS;Diagnóstico de doenças raras associadas a anomalias congênitas;Incorporação;31/01/2014
Interna;05/06/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Análise de DNA pela técnica Southern Blot;Processo encerrado: decisão de incorporação no SUS;Diagnóstico de doenças raras associadas a anomalias congênitas;Incorporação;31/01/2014
Interna;24/06/2013;Medicamento;Hematologia;Secretaria de Atenção à Saúde SAS/MS;Mesilato de imatinibe;Processo encerrado: decisão de incorporação no SUS;Para o tratamento da síndrome hipereosinfílica;Incorporação;08/10/2014
Interna;25/06/2013;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Materiais especiais Materiais elásticos para modelagem de cotos;Processo encerrado: decisão de incorporação no SUS;Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Materiais especiais Tábua/prancha para transferência;Processo encerrado: decisão de incorporação no SUS;Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Cinta para transferência;Processo encerrado: decisão de incorporação no SUS;Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Mesa de atividade para cadeiras de rodas (tábua mesa);Processo encerrado: decisão de incorporação no SUS;Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Almofadas de assento com células de ar interconectadas;Processo encerrado: decisão de incorporação no SUS;Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Procedimento;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Almofada de assento para cadeira de rodas;Processo encerrado: decisão de incorporação no SUS;Prevenção de úlceras de pressão/Simples na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Produto;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Bengala de 4 pontas;Processo encerrado: decisão de incorporação no SUS;Problema de locomoção na Tabela de Procedimentos, Medicamentos e OPM do SUS;Incorporação;11/06/2014
Interna;25/06/2013;Produto;Pessoa com deficiência;Secretaria de Atenção à Saúde SAS/MS;Bota imobilizadora para tornozelo;Processo encerrado: a pedido do demandante;Problema de locomoção;Incorporação;
Interna;25/06/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Avaliação diagnóstica, procedimentos laboratoriais e aconselhamento genético;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;01/07/2013;Medicamento;Oncologia;Secretaria de Estado da Saúde de São Paulo SES/SP;Temozolamida;Processo encerrado: decisão de não incorporação no SUS;Para o tratamento pósoperatório de pacientes portadores de gliomas de alto grau;Incorporação;26/09/2014
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Azatioprina;Processo encerrado: decisão de incorporação no SUS;Artrite reumatoide;Incorporação;16/05/2014
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Naproxeno;Processo encerrado: decisão de incorporação no SUS;Artrite reumatoide;Incorporação;16/05/2014
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Adalimumabe;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Certolizumabe pegol;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Etanercepte;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Infliximabe;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Golimumabe;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Rituximabe;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Abatacepte;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Tocilizumabe;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão e Vasculite Reumatoide;Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Leflunomida;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052);Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Cloroquina;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052);Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Hidroxicloroquina;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052);Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Metotrexato;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052);Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Sulfassalazina;Processo encerrado: decisão de exclusão do SUS;Doença Reumatoide do Pulmão (CID M051) e Vasculite Reumatoide (CID M052);Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Reumatologia;Secretaria de Atenção à Saúde SAS/MS;Ciclosporina;Processo encerrado: decisão de exclusão do SUS;Tratamento de Síndrome de Felty (CID M050), Artrite reumatoide com comprometimento de outros órgãos e sistemas (M053), outras artrites reumatoides soropositivas (M058), Artrite reumatoide soronegativa (M060) e outras artrites reumatoides especificadas (M068);Exclusão;17/12/2013
Interna;04/07/2013;Medicamento;Infectologia;Secretaria de Vigilância em Saúde SVS/MS;Vacina contra HPV;Processo encerrado: decisão de incorporação no SUS;Prevenção de câncer de colo do útero;Incorporação;18/11/2013
Interna;08/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Isoeletrofocalização para transferrina deficiente em carboidrato;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;08/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Dosagem quantitativa de carnitina perfil de acilcarnitinas;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;08/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Identificação de oligassacarídeos e sialossacarídeos por cromatografia (camada delgada);Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;08/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Identificação de glicídios urinários por cromatografia (camada delgada);Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;08/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Identificação de glicosaminoglicanos urinários por cromatografia em camada delgada, eletroforese e dosagem quantitativa;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;09/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Ensaios enzimáticos em tecido cultivado para diagnóstico de erros inatos do metabolismo;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;09/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Ensaios enzimáticos em eritrócitos para diagnóstico erros inatos do metabolismo;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;09/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Dosagem quantitativa de ácidos orgânicos para o diagnóstico de erros inatos do metabolismo;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;09/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Ensaios enzimáticos no plasma, leucócitos e tecidos para erros inatos do metabolismo;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;09/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Dosagem quantitativa de aminoácidos para diagnóstico de erros inatos do metabolismo;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;09/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Aconselhamento genético;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;26/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Procedimento laboratorial: identificação de mutação ou rearranjos por PCR/QPCR/PCR e QPCR sensível à metilação;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;26/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Procedimento laboratorial: identificação de alteração cromossômica submicroscópica por ArrayCGH;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;26/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Identificação de mutação por sequenciamento por ampliação de 500 pares de base;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;26/07/2013;Procedimento;Genética;Secretaria de Atenção à Saúde SAS/MS;Procedimento laboratorial: FISH em metáfase ou Núcleo interfásico, por doença;Processo encerrado: decisão de incorporação no SUS;Doenças raras;Incorporação;31/01/2014
Interna;29/07/2013;Procedimento;Oncologia;Secretaria de Atenção à Saúde SAS/MS;Iodoterapia de baixas doses (30mCi e 50mCi) em regime ambulatorial;Processo encerrado: decisão de incorporação no SUS;Carcinoma diferenciado da tireoide classificado como de baixo risco ou de risco intermediário;Incorporação;16/05/2014
Interna;05/09/2013;Procedimento;Otorrinolaringologia;Secretaria de Atenção à Saúde SAS/MS;Procedimentos relativos à assistência hospitalar à saúde auditiva Implante coclear (IC);Processo encerrado: decisão de incorporação no SUS;Deficiência auditiva;Incorporação;11/06/2014
